Package,Class,Method,Parameters,CC
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,mapIterator,[],1
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,nextKey,[final K key],1
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,previousKey,[final K key],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,comparator,[],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,decorated,[],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,headMap,[final K toKey],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,inverseBidiMap,[],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,subMap,[final K fromKey, final K toKey],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,tailMap,[final K fromKey],1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,valueComparator,[],1
org.apache.commons.collections4.bidimap,DualHashBidiMap,createBidiMap,[final Map<V, K> normalMap, final Map<K, V> reverseMap, final BidiMap<K, V> inverseBidiMap],1
org.apache.commons.collections4.bidimap,DualHashBidiMap,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bidimap,DualHashBidiMap,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,createBidiMap,[final Map<V, K> normalMap, final Map<K, V> reverseMap, final BidiMap<K, V> inverseBidiMap],1
org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,getKey,[],2
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,getValue,[],2
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,hasNext,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,hasPrevious,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,next,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,previous,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,remove,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,reset,[],1
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,setValue,[final V value],3
org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,toString,[],2
org.apache.commons.collections4.bidimap,ViewMap,clear,[],2
org.apache.commons.collections4.bidimap,ViewMap,containsValue,[final Object value],1
org.apache.commons.collections4.bidimap,ViewMap,decorated,[],1
org.apache.commons.collections4.bidimap,ViewMap,headMap,[final K toKey],1
org.apache.commons.collections4.bidimap,ViewMap,nextKey,[final K key],1
org.apache.commons.collections4.bidimap,ViewMap,previousKey,[final K key],1
org.apache.commons.collections4.bidimap,ViewMap,subMap,[final K fromKey, final K toKey],1
org.apache.commons.collections4.bidimap,ViewMap,tailMap,[final K fromKey],1
org.apache.commons.collections4.bidimap,DualTreeBidiMap,comparator,[],1
